id1,id2,distance
41,253,267
41,2057,475
41,4150,115
41,5489,267
41,5779,418
41,6246,126
41,7925,318
41,8800,345
41,9699,32
41,9928,284
41,10822,20
41,11546,270
41,13553,434
41,17232,110
41,20795,438
41,22384,441
41,25309,188
41,25997,92
41,26140,172
41,27230,206
41,29040,20
41,34180,258
41,35857,353
41,36098,319
41,40315,128
41,41409,225
41,41728,25
41,43528,426
41,45266,428
41,45559,179
41,45720,355
41,47620,366
41,49316,402
41,49474,416
41,50797,135
41,51567,169
41,52127,278
41,52990,49
41,54283,378
41,54545,130
41,56940,143
41,57235,64
41,58413,280
41,59694,301
41,60624,176
41,62495,356
41,62645,113
41,64011,333
41,65743,240
41,67393,365
41,67956,60
41,70629,64
41,70640,102
41,74872,22
41,74991,385
41,78407,313
41,80125,69
41,80826,142
41,81462,322
41,82194,416
41,83720,471
41,85597,27
41,88126,331
41,88430,89
41,88849,19
41,90569,402
41,92366,85
41,95188,351
41,96897,77
41,97006,339
41,98557,212
41,98936,344
41,101521,438
41,102687,127
41,103305,407
41,104644,396
41,109771,459
41,110109,291
41,111850,235
41,112638,421
41,115841,61
41,115945,185
41,117021,479
41,117626,149
41,119264,466
41,123396,0
41,124294,289
41,124975,407
41,125031,319
41,129412,443
41,129812,364
41,129902,298
41,130670,279
41,131287,176
41,131883,147
41,133177,57
41,134933,448
41,136772,23
41,137196,137
41,138895,361
41,139779,93
41,143028,200
41,145817,205
41,148896,314
41,151425,198
41,151846,307
41,152727,216
41,153144,333
41,153915,252
41,153949,87
41,158826,334
41,159427,471
41,159683,160
61,1624,430
61,2806,214
61,6018,399
61,6550,331
61,12693,260
61,16889,440
61,20061,492
61,20173,365
61,21383,398
61,28160,314
61,28210,11
61,34474,302
61,37733,223
61,41062,442
61,42882,53
61,46818,498
61,48501,369
61,49332,398
61,51012,296
61,54950,25
61,57236,347
61,57958,288
61,61665,80
61,65755,190
61,66476,5
61,66673,458
61,78394,277
61,78674,273
61,79750,403
61,83967,365
61,84568,212
61,85667,422
61,86959,348
61,90365,458
61,93227,138
61,100980,403
61,101330,498
61,103916,20
61,107513,163
61,111256,41
61,111719,16
61,114577,365
61,116970,458
61,118061,457
61,118460,426
61,122142,458
61,122525,213
61,124228,375
61,127098,486
61,129437,493
61,131086,215
61,141184,458
61,141593,430
61,143735,185
61,143843,419
61,150283,15
61,155707,24
61,157220,486
61,157469,441
61,160151,314
65,10061,156
65,11981,53
65,16371,283
65,19860,352
65,27066,69
65,35775,161
65,36276,95
65,37126,491
65,41847,21
65,42776,8
65,45372,66
65,53648,246
65,62097,424
65,62887,81
65,64237,169
65,64404,440
65,65754,212
65,66006,288
65,69945,436
65,70981,409
65,72528,20
65,76031,12
65,76451,52
65,77348,225
65,78022,382
65,87654,140
65,88765,36
65,88881,375
65,91481,73
65,91938,256
65,94226,253
65,100128,136
65,101901,374
65,112056,445
65,118786,256
65,124187,1
65,125002,77
65,126146,60
65,127187,169
65,127687,406
65,129644,328
65,133114,107
65,137111,492
65,138734,468
65,139251,436
65,140125,375
65,140247,79
65,145082,248
65,145458,160
65,148247,378
97,11920,260
97,76301,312
97,87957,56
97,134323,498
97,134651,172
97,141093,37
199,7061,408
199,12370,98
199,16481,368
199,16632,197
199,23010,483
199,26881,84
199,27753,433
199,35044,436
199,49861,453
199,50085,440
199,53186,371
199,58344,229
199,63403,204
199,72274,90
199,93004,500
199,93999,488
199,94687,442
199,94881,150
199,96508,151
199,97729,107
199,104304,148
199,107714,32
199,115459,62
199,116156,67
199,123138,87
199,125888,348
199,134016,120
242,1225,91
242,14842,401
242,23224,76
242,23445,426
242,23486,400
242,27010,215
242,31956,129
242,32716,80
242,38030,348
242,38733,15
242,42075,251
242,45781,382
242,56867,204
242,58261,183
242,60726,76
242,65659,99
242,82520,5
242,88275,150
242,92526,267
242,93147,85
242,93669,186
242,99603,109
242,101610,157
242,115956,336
242,116559,99
242,120377,63
242,120801,91
242,124104,309
242,124503,166
242,125212,459
242,125600,99
242,132062,431
242,134110,242
242,141345,275
242,155398,385
242,159454,312
253,2057,209
253,4150,152
253,4695,329
253,5779,151
253,6246,141
253,7925,51
253,8856,280
253,9699,298
253,10822,286
253,13553,167
253,17232,156
253,20795,171
253,23087,417
253,25309,79
253,25997,175
253,26140,94
253,27230,61
253,29040,247
253,34202,413
253,35857,86
253,36098,53
253,40315,139
253,41409,41
253,41728,242
253,43528,160
253,45266,161
253,45413,293
253,45559,446
253,45720,88
253,47620,99
253,49316,135
253,49474,149
253,50797,132
253,51315,405
253,51567,435
253,52030,466
253,52127,11
253,52990,316
253,54545,397
253,56940,124
253,57235,203
253,60624,443
253,62645,379
253,63704,258
253,64011,66
253,67956,327
253,68006,278
253,70629,331
253,70640,368
253,74872,289
253,80125,336
253,80826,408
253,81462,55
253,82194,150
253,83720,204
253,85597,240
253,88430,356
253,88849,286
253,92366,182
253,95188,85
253,96897,344
253,97006,73
253,98557,55
253,98936,78
253,102687,393
253,103305,140
253,104644,129
253,112638,154
253,115841,206
253,115945,452
253,117021,212
253,117626,416
253,119264,199
253,123110,336
253,123396,267
253,124479,477
253,124975,140
253,125031,52
253,129163,489
253,129812,97
253,129902,32
253,131287,443
253,131883,120
253,132978,454
253,133177,323
253,134933,181
253,136053,394
253,136772,244
253,137196,403
253,138895,94
253,139779,359
253,143028,467
253,143790,442
253,145817,472
253,147194,291
253,151425,465
253,152727,51
253,153144,67
253,153594,303
253,153915,15
253,153949,180
253,158826,67
253,159427,204
253,159683,427
258,267,40
258,669,205
258,1571,51
258,1857,229
258,2523,341
258,3372,35
258,3793,17
258,4345,310
258,4402,304
258,5151,387
258,5927,193
258,6687,393
258,9193,76
258,9416,205
258,9490,341
258,10186,142
258,10502,229
258,10937,231
258,11509,291
258,11874,386
258,11890,43
258,12094,42
258,12751,438
258,12848,93
258,14031,154
258,14796,57
258,15429,390
258,15531,333
258,15989,480
258,16046,392
258,16595,377
258,17020,432
258,17239,359
258,17409,69
258,18265,315
258,18407,298
258,19428,353
258,20234,239
258,20949,99
258,20972,45
258,21342,279
258,21470,67
258,22106,108
258,22458,24
258,23055,246
258,23279,416
258,23821,236
258,24409,484
258,24869,359
258,25304,369
258,26880,2
258,27284,286
258,27686,199
258,28541,38
258,28822,303
258,29743,154
258,30161,195
258,30371,210
258,30767,497
258,31126,115
258,31469,225
258,33827,214
258,34147,242
258,35080,83
258,36095,156
258,36136,118
258,36548,349
258,37147,300
258,37213,45
258,37359,1
258,37883,370
258,38082,423
258,38406,482
258,39425,385
258,39827,486
258,40179,25
258,40301,275
258,40795,59
258,40823,163
258,40952,191
258,41334,417
258,42940,236
258,43800,321
258,43953,451
258,44072,325
258,44187,119
258,46071,388
258,46231,121
258,46678,349
258,47080,25
258,47129,38
258,47174,385
258,47990,337
258,48091,257
258,48212,341
258,48615,89
258,48917,490
258,48938,24
258,50027,341
258,50531,288
258,50627,105
258,51858,142
258,52759,374
258,52855,209
258,53289,197
258,53766,201
258,54277,458
258,54558,463
258,55483,321
258,55692,147
258,55888,226
258,56310,10
258,56538,450
258,57231,203
258,57668,287
258,58193,202
258,59709,292
258,59903,1
258,61382,392
258,61826,287
258,61843,405
258,61970,80
258,62089,82
258,62418,439
258,62541,25
258,65004,15
258,66922,291
258,67109,488
258,67230,193
258,67268,177
258,67347,482
258,67474,295
258,67734,3
258,67769,78
258,67893,21
258,69033,65
258,69039,205
258,70208,130
258,70218,384
258,70488,396
258,72300,158
258,72306,287
258,73193,125
258,73438,229
258,73762,228
258,73776,193
258,74037,481
258,75270,441
258,76825,359
258,76864,78
258,77273,9
258,77524,27
258,77828,4
258,78801,106
258,79453,495
258,79935,7
258,80072,35
258,80115,457
258,80416,316
258,80654,497
258,81659,33
258,81999,291
258,83317,205
258,83547,395
258,83941,463
258,84301,434
258,84342,364
258,84422,151
258,85035,216
258,86184,280
258,86541,362
258,86684,6
258,87044,370
258,87934,479
258,88143,33
258,88342,190
258,88991,308
258,89087,154
258,92147,98
258,92547,27
258,92566,26
258,92636,235
258,93638,44
258,94088,65
258,94609,425
258,94656,83
258,95090,312
258,95270,21
258,96119,432
258,96449,437
258,96534,379
258,97715,226
258,97911,235
258,98134,270
258,99527,388
258,100699,139
258,100794,323
258,101458,57
258,101777,346
258,102060,185
258,102168,397
258,102890,161
258,103051,473
258,103649,357
258,103670,210
258,104495,128
258,104707,495
258,104843,312
258,105282,316
258,106283,66
258,106754,253
258,106846,230
258,108148,35
258,109011,179
258,109061,17
258,110468,202
258,110498,193
258,110667,355
258,110776,38
258,110866,199
258,112399,45
258,113090,175
258,113333,26
258,113687,337
258,113804,2
258,113908,59
258,114308,244
258,114342,28
258,114534,255
258,114789,141
258,116215,205
258,116531,141
258,117642,171
258,117700,437
258,117793,327
258,117868,250
258,118207,473
258,118613,347
258,119662,187
258,119850,60
258,120656,295
258,120997,102
258,121318,74
258,121534,93
258,121579,87
258,122175,291
258,124341,75
258,124516,205
258,124635,217
258,125205,102
258,125461,285
258,125464,447
258,126904,48
258,127157,360
258,127565,209
258,129302,333
258,129553,93
258,130303,143
258,131150,116
258,131315,74
258,131521,16
258,131616,148
258,132448,30
258,132681,197
258,135258,365
258,135755,213
258,136311,483
258,136486,143
258,136503,69
258,136914,80
258,137322,236
258,138269,160
258,138277,80
258,138985,417
258,139402,127
258,140399,169
258,140545,297
258,140908,187
258,141152,12
258,143045,216
258,143403,475
258,143913,56
258,144120,96
258,144247,395
258,145627,22
258,146713,431
258,147310,158
258,147593,109
258,147955,423
258,148093,130
258,148971,137
258,149081,305
258,149285,148
258,149907,335
258,150722,320
258,151611,90
258,151915,132
258,152598,197
258,153014,394
258,153259,34
258,153708,191
258,154557,135
258,154882,470
258,154964,83
258,155505,320
258,155717,141
258,155739,280
258,156280,200
258,157024,4
258,157356,312
258,157411,388
258,158787,479
258,159803,464
267,669,245
267,1571,11
267,1857,189
267,2523,380
267,3372,75
267,3793,57
267,4345,270
267,4402,264
267,5151,347
267,5927,233
267,5998,485
267,6687,433
267,9193,116
267,9416,245
267,9490,302
267,10186,181
267,10502,269
267,10937,191
267,11509,330
267,11874,426
267,11890,83
267,12094,2
267,12751,398
