id1,id2,distance
NRPemqVb4qpWFF0Avq_6OQ,bKXudCzxsYjkcGFsj3nZDA,325
NRPemqVb4qpWFF0Avq_6OQ,FuCx_MkgCkwpsAs8wXt-Qw,382
NRPemqVb4qpWFF0Avq_6OQ,ObARwNdwAtFSFwhr1tHCdA,144
NRPemqVb4qpWFF0Avq_6OQ,uKPst2lrM8EmrPvVH2GLgw,30
NRPemqVb4qpWFF0Avq_6OQ,aQOfzotmSyQ8Ox1e3aEThA,157
NRPemqVb4qpWFF0Avq_6OQ,Qz-R16P6zvgJrRerqdtIaQ,493
NRPemqVb4qpWFF0Avq_6OQ,WJkLQ9r_lDmntVTCQHJPig,0
NRPemqVb4qpWFF0Avq_6OQ,_PQ5cChvOleL3DotAmNkyg,232
NRPemqVb4qpWFF0Avq_6OQ,rO2utt6SJTP5sjaUsiMQbw,82
NRPemqVb4qpWFF0Avq_6OQ,Y1gXWJBWHcoGcDGzTvoLAw,88
NRPemqVb4qpWFF0Avq_6OQ,3C-AKE1SctZZruBtxGX0vQ,216
NRPemqVb4qpWFF0Avq_6OQ,z5SEfnihnLnWnI1F7QHb7A,223
bRsDZ44CD3uhGnRY3NeQhQ,RhcVws6Mncwubbhi2IYkbg,436
bRsDZ44CD3uhGnRY3NeQhQ,vW7DNy8uXHy91V86KrkJsg,388
bRsDZ44CD3uhGnRY3NeQhQ,fnSCOXXY4GAvy6T8l-Rg1Q,415
bRsDZ44CD3uhGnRY3NeQhQ,G0hu-rddoWtVIQadEHdG-A,107
bRsDZ44CD3uhGnRY3NeQhQ,PM2jsOonjLwIFAfDvlZlQQ,441
bRsDZ44CD3uhGnRY3NeQhQ,v-3jZdFtMTuSa-tUId7Xfw,482
bRsDZ44CD3uhGnRY3NeQhQ,__9DAJrvV7WQd20kr90HLQ,275
bRsDZ44CD3uhGnRY3NeQhQ,l7u-43JiBJSUv1EStcYRuQ,475
bRsDZ44CD3uhGnRY3NeQhQ,7Ti8-0F-KTDy3xfO2hhKrg,454
bRsDZ44CD3uhGnRY3NeQhQ,3bfEdgMeSfBl5T5HKzobwg,484
bRsDZ44CD3uhGnRY3NeQhQ,hYD9oPrRBzKfrGhBkmJ3cg,172
bRsDZ44CD3uhGnRY3NeQhQ,CcKKrDq-HdOAhDHAEDjRIQ,384
pewcbd-NCgj1LXJNifFA4g,o8DMdE-VAiUydUBJ2E6MZA,186
pewcbd-NCgj1LXJNifFA4g,mF9cdDIMhHoYe4g-OmjTlg,298
pewcbd-NCgj1LXJNifFA4g,tUQOptBIGrpCi8f6l9QEbw,115
pewcbd-NCgj1LXJNifFA4g,DuPYjYBCAdJMKQwnYD6C1w,327
pewcbd-NCgj1LXJNifFA4g,uDKMdG3RZlO69NMGVuOjfQ,245
pewcbd-NCgj1LXJNifFA4g,uzLZ81iqcQktFDu0I8061g,289
pewcbd-NCgj1LXJNifFA4g,-IIvmjoEKa9Trhf4OxzJeA,131
pewcbd-NCgj1LXJNifFA4g,TzjM11qH5IhmM-MIAJFOew,232
pewcbd-NCgj1LXJNifFA4g,-oCYfB-JL3Yc_RECg4B1Qw,175
pewcbd-NCgj1LXJNifFA4g,N_sZ_nR1eI2hBnILDjDYGQ,372
pewcbd-NCgj1LXJNifFA4g,uAAWnxoZ4vXup2pLbSlQWg,437
pewcbd-NCgj1LXJNifFA4g,K-KY54053J3RfNFddmIa-w,250
pewcbd-NCgj1LXJNifFA4g,CN-Pw0sd7Oa3qgkg20OSKg,372
pewcbd-NCgj1LXJNifFA4g,EmIpleattjVwdqncgAbsQw,286
pewcbd-NCgj1LXJNifFA4g,1Fv2ep3E7JYvJKqn17lxdQ,354
pewcbd-NCgj1LXJNifFA4g,v1UzkU8lEWdjxq8byWFOKg,477
pewcbd-NCgj1LXJNifFA4g,wvU_-fiTIwW4GTEj_4I5Hg,470
pewcbd-NCgj1LXJNifFA4g,Ld3VO9saSuKmslPCzc7XVA,437
pewcbd-NCgj1LXJNifFA4g,wcfw4YLZaX5eVjtHlCfTwQ,125
pewcbd-NCgj1LXJNifFA4g,tO3jMM7UApHkj6LtG0Rgng,311
pewcbd-NCgj1LXJNifFA4g,KjaK4CsJ_PypmVBncLwWAA,498
pewcbd-NCgj1LXJNifFA4g,ZgIPuv43YvTMqNLW6Qj9QQ,374
pewcbd-NCgj1LXJNifFA4g,O31SAvOOjle_RLvRpHDdmg,358
pewcbd-NCgj1LXJNifFA4g,kHOI8apECknxdVDbG-foPg,410
pewcbd-NCgj1LXJNifFA4g,UiDZIzI7qOz6BwlyGMtr-A,133
pewcbd-NCgj1LXJNifFA4g,ai0UHYBdeozo-a7Redqgrg,174
pewcbd-NCgj1LXJNifFA4g,o3hVnvoBDTm21eUu7xgdsg,259
pewcbd-NCgj1LXJNifFA4g,q7-282lxJUIJFLKvK9FL4w,191
pewcbd-NCgj1LXJNifFA4g,hpAOH8cmY5WHjnl8jGQ1dA,78
pewcbd-NCgj1LXJNifFA4g,dZh2u96vAN8pdHmiwcpXdw,246
pewcbd-NCgj1LXJNifFA4g,0F3LEU42pE0c56o0EpXW-Q,89
pewcbd-NCgj1LXJNifFA4g,HvWTntcf7Hz_BEW5zBN4-g,434
pewcbd-NCgj1LXJNifFA4g,IvBKy-IOnPFj8Tlg3uhLzg,340
pewcbd-NCgj1LXJNifFA4g,JF6tshUSeH8U9eRDemzI7Q,140
pewcbd-NCgj1LXJNifFA4g,BmiR8s9dHBDs47zIZ1LC_Q,156
pewcbd-NCgj1LXJNifFA4g,2OWVJAoPHQucVOWxP-FbUw,362
pewcbd-NCgj1LXJNifFA4g,UAS91qgnxpzjc6wyUpv8_A,350
pewcbd-NCgj1LXJNifFA4g,BomU5ZTro4yjB4RLcLgzFg,414
pewcbd-NCgj1LXJNifFA4g,Ubk457R-6a6xiDlATBrU4g,255
pewcbd-NCgj1LXJNifFA4g,4fhsjmiqWVozY8ev0gscNw,259
pewcbd-NCgj1LXJNifFA4g,kWVXGP6-qHiTv0Z8AR_6SA,186
pewcbd-NCgj1LXJNifFA4g,rvM4hrCnaChlw97NRPbgLg,403
pewcbd-NCgj1LXJNifFA4g,BOxdD3vv6IaGMdfuK4dEVg,389
pewcbd-NCgj1LXJNifFA4g,yRTwMbREScu8YhGaBfD1Bg,240
pewcbd-NCgj1LXJNifFA4g,2wmiZMLerY9J-uJJzNsjQQ,350
pewcbd-NCgj1LXJNifFA4g,pKXtSuabMA63tYCk1UMR-g,292
pewcbd-NCgj1LXJNifFA4g,_RYB1TIj4MeiBm63iLyxHg,255
pewcbd-NCgj1LXJNifFA4g,yt-YaUjFEtb4u8Iu7ImDkw,155
pewcbd-NCgj1LXJNifFA4g,2FISuMKzzKAJmjNXIvPtBg,189
pewcbd-NCgj1LXJNifFA4g,4RH5yxIM52U-BuwPTwe7iQ,198
