id1,id2,distance
6iYb2HFDywm3zjuRg0shjw,DX6G8Vdu9wUx95Tzh6gEwA,117
6iYb2HFDywm3zjuRg0shjw,8zehGz9jnxPqXtOc7KaJxA,144
6iYb2HFDywm3zjuRg0shjw,u5friKeP4vez8B8DzHVBCQ,364
6iYb2HFDywm3zjuRg0shjw,EWOt6ZUkPC12D2E34VWnPQ,478
6iYb2HFDywm3zjuRg0shjw,1FHW194SVdJaytXXj0oN_A,394
6iYb2HFDywm3zjuRg0shjw,eCLuYcTuQpDPFOezhlxX8g,482
6iYb2HFDywm3zjuRg0shjw,2jtw0L3OooYJb2BEOeUJOA,130
6iYb2HFDywm3zjuRg0shjw,UTPRP-e61Fq4NW3OzZp8yw,84
6iYb2HFDywm3zjuRg0shjw,fx18Jn97mQ1Xs6j068yc2Q,419
6iYb2HFDywm3zjuRg0shjw,bgBHZbypBw7TnQDxofyYbg,429
6iYb2HFDywm3zjuRg0shjw,5sg-7zNry9NVs-S6zJj1dg,76
6iYb2HFDywm3zjuRg0shjw,rFdWIomDI4tmg9yRnLomKg,135
6iYb2HFDywm3zjuRg0shjw,tlkYdsWZO4VaSwXSLUI1SQ,420
6iYb2HFDywm3zjuRg0shjw,IpwNLXVrRGEXCvKQn4oCHA,394
6iYb2HFDywm3zjuRg0shjw,hvLaPFMXUdsVL934Nlz_gg,439
6iYb2HFDywm3zjuRg0shjw,V1Z-aQhUFf-cYazoIm6Abg,309
6iYb2HFDywm3zjuRg0shjw,_unpEyIMAW_FTFp6AThFmg,200
6iYb2HFDywm3zjuRg0shjw,0A80IDh1Ag7jW4_D9sjQPQ,123
6iYb2HFDywm3zjuRg0shjw,wL_2OYoOngBKRE7kivpYEQ,352
6iYb2HFDywm3zjuRg0shjw,ZeINRzOWff9LB-bn2-Bdqg,19
6iYb2HFDywm3zjuRg0shjw,guTsOdWQ-YWUHSJ3ubk8PQ,68
6iYb2HFDywm3zjuRg0shjw,eRlc-vfvnl9ai8RydqZfOw,76
6iYb2HFDywm3zjuRg0shjw,pWbeQoEPY0fSxKa3gmIqZg,147
6iYb2HFDywm3zjuRg0shjw,oCsgfMHFvraMQfvfuSJheg,135
6iYb2HFDywm3zjuRg0shjw,Z0wcyf3X0qNXUN4KTkUTuA,136
