id1,id2,distance
5eq56X-e9YbAKmHgUOyXSg,FeUZj7bOUECOdC9wnDa0FQ,203
vecuat0jOia-CJveW3ngDw,WeJhxB1Bi4J_KkXqlWEVgw,248
vecuat0jOia-CJveW3ngDw,6BAAyFv-3QFMMXa8HXdapQ,398
vecuat0jOia-CJveW3ngDw,Diu6-86Rb2_FKxFfmoG_Eg,329
vecuat0jOia-CJveW3ngDw,W3JiVYWSLrqCiOAoeJouog,496
vecuat0jOia-CJveW3ngDw,A71WLS1fudHKEhAjxmr8OQ,404
vecuat0jOia-CJveW3ngDw,7oT-X7DRKMGLSLLQ5Tp8zw,255
vecuat0jOia-CJveW3ngDw,o7TX0QYPTUvc0lz-nP7RPQ,478
vecuat0jOia-CJveW3ngDw,4ergn03AcRW2kzgvZC-kzQ,193
vecuat0jOia-CJveW3ngDw,B_B8U1tscj4NgpXosVeKFA,460
vecuat0jOia-CJveW3ngDw,sOdwE6iR4tgNQH0jTEyv8Q,233
ZaMMUcOIngBCgxuKxFzfqg,cUxgp4bE1r824zLDHuH1bg,481
ZaMMUcOIngBCgxuKxFzfqg,94YDs-tB6Jm1BQKq7A2T8A,258
ZaMMUcOIngBCgxuKxFzfqg,xpAjyXJjv-T7trJiVuQmRQ,148
ZaMMUcOIngBCgxuKxFzfqg,GghTigOCFKEWOqFzHqEsYA,366
ZaMMUcOIngBCgxuKxFzfqg,pVy6OuD2d72bn2V6yED0ig,48
ZaMMUcOIngBCgxuKxFzfqg,VKHqS4Ecug3fwAt7wxwTzw,245
ZaMMUcOIngBCgxuKxFzfqg,ROscfb9ihit63xCm7WBziw,266
FrFDIPBzRbFVfanxG4wcNQ,qBZ_sFOXjjGmch1gS64iJw,155
FrFDIPBzRbFVfanxG4wcNQ,H70UDeyMwQLopX6f3kB5-Q,285
FrFDIPBzRbFVfanxG4wcNQ,8ldvi0siEx2xn2KM1N6BSA,112
FrFDIPBzRbFVfanxG4wcNQ,4piq3nbua4BEnxKRGyOm4Q,155
FrFDIPBzRbFVfanxG4wcNQ,eOlbQR8fYNHgXEjskvocRA,77
FrFDIPBzRbFVfanxG4wcNQ,tFdStKPrvXhnrUSrOb28MQ,1
fRi0NgK65Inn8x9Pak9yMg,hKa__ZhGPo5NmTq1zp4qEQ,198
fRi0NgK65Inn8x9Pak9yMg,cV9-Nven_rELh6yrgHUcCA,75
fRi0NgK65Inn8x9Pak9yMg,kWAHKdouwagh9X0fFKpR-A,93
fRi0NgK65Inn8x9Pak9yMg,EoaekSv4-Ge4E3DPraU2cw,300
fRi0NgK65Inn8x9Pak9yMg,oTuzi1kyS0a99bQ9JC3naQ,492
_TTsA0J7UfNkVyjp45G79Q,qseVWJ2q9fONLCxdsuyaWQ,443
_TTsA0J7UfNkVyjp45G79Q,7NM-Y5uHaeSvMthcKuJXxw,455
_TTsA0J7UfNkVyjp45G79Q,TIIA4skKjqo5QdyUwAHgdA,148
_TTsA0J7UfNkVyjp45G79Q,8IpWfSlJ6YDTUU0AYBBl2Q,223
_TTsA0J7UfNkVyjp45G79Q,wryc7MtO0Zax_O1EjHj86g,111
_TTsA0J7UfNkVyjp45G79Q,Lwr3WPLy-BUpGzeUyiUfAg,469
_TTsA0J7UfNkVyjp45G79Q,d4pSKr3Qvsj9aJ0pfm-WhQ,461
_TTsA0J7UfNkVyjp45G79Q,IAOmBGTX93CvwLIWLrfvbw,376
_TTsA0J7UfNkVyjp45G79Q,2TzbYhoiHdotNI6VEpp-Ag,402
_TTsA0J7UfNkVyjp45G79Q,ZbOrQgrS57yC-AHMMAKRDA,132
