id1,id2,distance
ufCxltuh56FF4-ZFZ6cVhg,LrE5Rqg4pBRwgDfk3toOAw,164
ufCxltuh56FF4-ZFZ6cVhg,lMW4Uhl6SeAWTFza5mb5xg,80
ufCxltuh56FF4-ZFZ6cVhg,TdCpU1NkE6aVWAdTzuhZ0g,374
ufCxltuh56FF4-ZFZ6cVhg,FX6hd5ppyK7HvQg2yOrHXA,465
ufCxltuh56FF4-ZFZ6cVhg,F7tj9dFlb32gtuukk1E32g,446
ufCxltuh56FF4-ZFZ6cVhg,teRhnzxmGkteQp4VCzh7Cg,354
ufCxltuh56FF4-ZFZ6cVhg,gQXyccl8OzxbNgHF2_3tyA,362
ufCxltuh56FF4-ZFZ6cVhg,XCk_8oOqmuCWVHr_6WxyEQ,143
ufCxltuh56FF4-ZFZ6cVhg,KAP9fE9BC4pEJOQa3OOy8g,214
ufCxltuh56FF4-ZFZ6cVhg,aa0ZUefRYHj5uand6jA5nQ,203
ufCxltuh56FF4-ZFZ6cVhg,VLvEWevdV5zPMQkH8MDFfw,400
ufCxltuh56FF4-ZFZ6cVhg,TKe1e7UictTnj6w1J20Stw,325
ufCxltuh56FF4-ZFZ6cVhg,iLme8rMkqn83C3wGja5JGA,415
ufCxltuh56FF4-ZFZ6cVhg,CGRi6pdz4-DdpI2UfXmnIg,350
ufCxltuh56FF4-ZFZ6cVhg,XKFrf8-7e1ey6Znd0Y4PjQ,345
ufCxltuh56FF4-ZFZ6cVhg,aVdhQyZV55jJvbqlI9A4oA,202
ufCxltuh56FF4-ZFZ6cVhg,iDyLmQbZbgLZbcOa4Hr5kg,217
ufCxltuh56FF4-ZFZ6cVhg,TEmOYoibJtg6xD-4VuPy-A,282
ufCxltuh56FF4-ZFZ6cVhg,iBzGe-WgOXItmouJLviPPw,341
ufCxltuh56FF4-ZFZ6cVhg,-hCMvmsZDjGiUlgp-5OEfg,246
ufCxltuh56FF4-ZFZ6cVhg,UdlmOO9fgyZHGLeDen15Cw,441
ufCxltuh56FF4-ZFZ6cVhg,lKwxFqWWk8vTsdoYUNvoJA,173
ufCxltuh56FF4-ZFZ6cVhg,X7MJTgz1NhKc2IiQ7Dnglg,346
ufCxltuh56FF4-ZFZ6cVhg,jzq8nWmvupjbznheE-XFYw,221
ufCxltuh56FF4-ZFZ6cVhg,br-xeGZ-P9eHpicZGJtXiQ,19
ufCxltuh56FF4-ZFZ6cVhg,1QR3LnlUjtdXG5TBPSV24w,408
ufCxltuh56FF4-ZFZ6cVhg,fw7hRTCz1H7qu4jzLEEWfA,491
ufCxltuh56FF4-ZFZ6cVhg,rYEI9tYQ5TN2fb6_NurLjw,88
ufCxltuh56FF4-ZFZ6cVhg,VSKYbX0N3fyAMMgFHC2guQ,345
ufCxltuh56FF4-ZFZ6cVhg,rc933QNIAdJiRhno3VNy1A,274
ufCxltuh56FF4-ZFZ6cVhg,_0drE6AfVk0jw-ZyEEX7Wg,423
ufCxltuh56FF4-ZFZ6cVhg,QiEJsPQyQtARpY_BsxoEfw,270
ufCxltuh56FF4-ZFZ6cVhg,vhoRr5Hnl10gICruaxJqTw,341
ufCxltuh56FF4-ZFZ6cVhg,ffAItVIoon1ge4wDanfFyg,463
ufCxltuh56FF4-ZFZ6cVhg,VADKZXI9XLUNonxzaTmO8A,384
ufCxltuh56FF4-ZFZ6cVhg,fxN-mnKDBON6kmwHdgIwKw,221
ufCxltuh56FF4-ZFZ6cVhg,VYr5BIGKCfC8ZaFXw0YEYw,233
ufCxltuh56FF4-ZFZ6cVhg,JlmGaJQ5B3GYeNIt7uZkSg,494
TRToVIbaVtu1KOE8DR9gCw,7NghWhrjo88o7S5SBx41Sg,343
TRToVIbaVtu1KOE8DR9gCw,iIGN8imDoLdnMdQzu855XA,269
TRToVIbaVtu1KOE8DR9gCw,lWgYF_UsCuwVeEgwKwwUuQ,459
TRToVIbaVtu1KOE8DR9gCw,CfkfUDB07i8WsYr0O9rhkw,494
TRToVIbaVtu1KOE8DR9gCw,HXwzKg5SvZbimsMsEOnAHg,175
TRToVIbaVtu1KOE8DR9gCw,Pwq5d1rmZeDPw1u6Sx7DuQ,459
TRToVIbaVtu1KOE8DR9gCw,OHT9vUwtJtfKLFilZlXPjA,157
TRToVIbaVtu1KOE8DR9gCw,oajoTwcUxO4aGWQcolgIVA,444
TRToVIbaVtu1KOE8DR9gCw,uVdP5F5lesnZoOAramcLRg,331
TRToVIbaVtu1KOE8DR9gCw,xNn4u5mi35kaQru1oIP5Xg,176
TRToVIbaVtu1KOE8DR9gCw,KpsG9JIuO-HKNgVhx01GeA,262
TRToVIbaVtu1KOE8DR9gCw,fwJSJStBfZQNus3cLyKfqw,459
BFd5KnVmxkFH3WjbydJI3Q,TOn7dAkZX-dnryK62TvS9A,476
BFd5KnVmxkFH3WjbydJI3Q,jZm_LOdamCzvCz8oxReNhQ,173
BFd5KnVmxkFH3WjbydJI3Q,ZmfUKF6qxcI3Q44Db2mBSQ,397
BFd5KnVmxkFH3WjbydJI3Q,0ug1ox3GaoLG3FFfDc8W2g,402
BFd5KnVmxkFH3WjbydJI3Q,jmCJn4mAGYrq6sRD_LFjrg,449
BFd5KnVmxkFH3WjbydJI3Q,4TXx4BZwxv6bQgAbNQwtew,206
BFd5KnVmxkFH3WjbydJI3Q,O_fKezhbt0s4D_DLm16zqA,301
BFd5KnVmxkFH3WjbydJI3Q,iDTsUhgV9CTHTj1OwiyaUw,209
BFd5KnVmxkFH3WjbydJI3Q,5q4Xjd-bMewD41DYV3g3Bg,410
BFd5KnVmxkFH3WjbydJI3Q,BUgvZBZg9vJDu6Euhwn0BQ,373
BFd5KnVmxkFH3WjbydJI3Q,DZZINr3JyNkaJv1IqQ2YnQ,381
BFd5KnVmxkFH3WjbydJI3Q,93BeW3H3WfTVccI4_odnRw,416
djolOChjDtxniurUFP_SXA,_B186tXiIFL-kbn1s8dLkA,428
djolOChjDtxniurUFP_SXA,JwYnWhwTD89K7FWsnuf7pg,123
djolOChjDtxniurUFP_SXA,NFg_j4DUaZVkFOpftJJhFA,393
djolOChjDtxniurUFP_SXA,JSFgXIDaADEOmSyWTAxhsw,253
djolOChjDtxniurUFP_SXA,Q5etju7jcl5rljDQfnHUHA,315
djolOChjDtxniurUFP_SXA,bcZXZJmlr8kAIVpDEYwfsg,202
djolOChjDtxniurUFP_SXA,YGi5KM6HOA8wSiPa2jGO4g,480
djolOChjDtxniurUFP_SXA,IiPVF8tjPYE0LnEodi81SQ,385
djolOChjDtxniurUFP_SXA,LULoJmcf6d4mALHnEkswLw,354
djolOChjDtxniurUFP_SXA,-VnnxYBfE87beI3aD8gx0Q,147
djolOChjDtxniurUFP_SXA,kDTjbhRfI8CW0OipYIVYww,170
djolOChjDtxniurUFP_SXA,ruAsZwaUXFs6S7TeFWDVMw,260
djolOChjDtxniurUFP_SXA,9mO3aaZGYOivK9VG0sMI5g,479
djolOChjDtxniurUFP_SXA,w7uOIeN_gjbqXnLD2XKpIQ,215
djolOChjDtxniurUFP_SXA,TqI2HHb40p5OmFKFFTobqA,482
djolOChjDtxniurUFP_SXA,RVBuWG7ZrUExANZgoUUncQ,193
jI0NfabCGtRZWH5S0jl6Pw,W-JJq1iCMkSjsPFNuNjjGg,94
3_RuVmLNa-1GNHOMvl_bsg,C59j9sTddsKNw-Y2z327EA,170
3_RuVmLNa-1GNHOMvl_bsg,AyZqXjdwObVEaIVDnnhppg,358
