,popularity,price_tier,outdoors,good_for_groups,has_credit_card,good_for_kids,has_delivery,caters
0,2,2,1,1,1,0,1,1
1,2,2,1,1,1,1,1,1
2,1,2,1,1,0,1,1,1
3,1,1,0,0,1,0,1,1
4,0,1,1,1,1,1,1,0
5,2,2,1,1,1,1,1,1
6,1,2,1,1,0,1,1,1
7,0,2,1,1,1,1,1,0
8,2,2,1,1,1,1,1,1
9,1,2,1,1,1,1,1,1
10,1,2,0,0,1,0,0,1
11,2,1,1,1,1,1,1,1
12,0,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,0
15,2,1,1,1,1,1,1,1
16,0,2,1,1,1,1,1,0
17,1,2,0,0,1,0,1,1
18,0,2,0,0,0,0,0,0
19,0,2,1,1,1,1,1,1
20,2,1,1,1,1,1,1,1
21,0,1,0,0,1,0,0,1
22,0,2,1,1,1,1,1,1
23,2,2,1,1,1,1,1,1
24,2,2,1,1,1,1,1,1
25,1,2,1,1,1,1,1,1
26,0,4,1,1,1,1,1,0
27,1,2,1,1,1,1,1,1
28,0,2,1,1,1,1,1,1
29,2,2,1,1,1,1,1,1
30,0,1,1,1,1,1,1,1
31,2,2,1,1,1,1,1,1
32,2,2,1,1,1,1,1,1
33,2,2,1,1,1,1,1,1
34,2,2,1,1,1,1,1,1
35,1,1,1,0,1,0,0,1
36,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1
38,1,2,1,1,1,1,1,1
39,1,1,1,1,1,1,1,0
40,0,2,1,1,1,1,1,0
41,2,1,1,1,1,1,1,1
42,1,1,1,0,1,0,1,1
43,0,1,1,1,1,1,1,1
44,2,1,1,1,1,1,1,1
45,0,1,1,1,1,1,1,1
46,1,1,1,0,1,0,1,1
47,1,2,1,1,1,1,1,1
48,0,2,1,1,1,1,1,1
49,0,1,1,1,1,1,1,0
50,2,2,1,1,1,1,1,1
51,0,1,1,1,1,1,1,0
52,0,1,0,0,1,0,0,0
53,1,2,1,0,1,0,1,1
54,0,3,0,1,0,1,1,0
55,0,1,1,1,1,1,1,0
56,0,2,1,1,1,1,1,1
57,2,2,1,1,1,1,1,1
58,2,1,1,1,1,1,1,1
59,1,2,1,1,1,1,1,1
60,0,1,1,1,1,1,1,0
61,1,2,1,0,1,0,0,1
62,0,2,1,1,0,1,1,1
63,1,1,1,1,1,1,1,1
64,2,2,1,1,1,1,1,1
65,1,2,0,0,1,0,1,1
66,2,3,1,1,1,1,1,1
67,0,1,1,1,1,1,1,1
68,0,1,0,1,1,1,1,0
69,0,1,1,1,1,1,1,1
70,0,2,0,0,1,0,1,1
71,2,2,1,1,1,1,1,1
72,0,1,1,1,1,1,1,1
73,1,2,1,1,1,1,1,1
74,1,4,1,1,1,1,1,1
75,2,2,1,1,1,1,1,1
76,2,2,1,1,1,1,1,1
77,1,1,1,1,1,1,1,1
78,0,1,1,1,1,1,1,1
79,0,1,1,1,1,1,1,1
80,1,1,1,1,1,1,1,1
81,1,2,0,0,1,0,1,1
82,2,2,1,1,1,1,1,1
83,0,1,1,1,1,1,1,1
84,2,2,1,1,0,1,1,1
85,2,2,1,1,1,1,1,0
86,0,1,1,0,1,0,1,0
87,0,1,1,1,1,1,1,1
88,1,1,1,0,1,0,0,1
89,2,2,1,1,1,1,1,1
90,0,1,1,1,1,1,1,1
91,1,2,1,1,1,1,1,1
92,1,2,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1
96,1,2,1,1,1,1,1,0
97,0,2,0,0,1,1,0,0
98,1,2,1,1,0,1,1,1
99,1,1,1,1,1,1,1,1
100,1,2,1,1,1,1,1,1
101,0,1,1,1,1,1,1,1
102,1,2,0,0,1,0,1,1
103,1,1,0,0,1,1,0,1
104,2,2,0,0,1,0,0,0
105,0,1,0,0,1,0,0,0
106,0,2,0,0,1,0,0,1
107,2,2,1,1,1,1,1,1
108,0,1,0,0,1,0,0,0
109,0,2,1,1,0,1,1,0
110,2,1,1,1,1,1,1,0
111,2,2,1,1,1,1,1,1
112,1,2,1,1,1,1,1,1
113,1,1,1,0,1,0,1,1
114,0,1,0,0,0,0,1,0
115,2,2,1,1,1,1,1,1
116,1,2,1,1,0,1,1,1
117,2,2,1,1,1,1,1,1
118,0,2,1,1,0,1,1,0
119,2,1,1,0,0,0,0,1
120,0,1,1,1,1,1,1,1
121,0,1,1,0,1,0,0,1
122,1,1,1,1,1,1,1,1
123,1,2,1,1,1,1,1,0
124,1,2,1,1,1,1,1,1
125,1,2,1,1,1,1,1,1
126,1,1,1,1,1,1,1,1
127,0,2,0,0,1,0,1,1
128,2,2,1,1,1,1,1,1
129,2,2,1,1,1,1,1,0
130,1,1,1,1,1,1,1,1
131,1,2,1,0,1,1,1,1
132,2,2,1,1,1,1,1,1
133,0,1,1,1,1,1,1,1
134,0,2,1,1,1,1,1,0
135,0,1,1,1,1,1,1,1
136,1,2,1,1,1,1,1,1
137,1,1,1,1,0,1,1,1
138,1,2,1,1,1,1,1,1
139,1,2,1,1,1,1,1,1
140,2,2,1,1,1,1,1,1
141,0,1,1,1,1,1,1,1
142,2,2,1,1,0,1,1,1
143,2,2,1,1,0,1,1,1
144,1,2,1,1,0,1,1,1
145,1,2,1,1,1,1,1,1
146,1,2,1,1,1,1,1,1
147,0,2,1,1,1,1,1,1
148,2,2,1,1,1,1,1,1
149,2,2,1,1,0,1,1,1
150,2,2,1,1,1,1,1,1
151,0,1,0,1,1,0,1,0
152,0,1,0,0,1,0,1,0
153,0,1,1,0,1,0,1,0
154,2,3,1,1,1,1,1,1
155,1,1,1,0,1,0,1,1
156,2,2,1,1,1,1,1,1
157,1,2,1,1,1,1,1,1
158,2,1,1,1,1,1,1,1
159,0,3,0,0,1,0,0,1
160,2,3,1,1,0,1,1,1
161,1,1,1,1,1,1,1,1
162,1,2,0,0,1,0,0,1
163,2,2,1,1,1,1,1,1
164,0,1,1,1,1,1,1,1
165,0,2,0,0,1,0,0,0
166,2,2,1,1,1,1,1,1
167,0,1,1,1,1,1,1,1
168,2,2,0,0,1,0,1,1
169,0,3,0,0,1,0,0,0
170,0,1,1,1,1,1,1,1
171,2,2,1,1,1,1,1,1
172,1,1,1,1,1,1,1,1
173,0,2,1,1,0,1,1,1
174,0,1,1,1,1,1,1,1
175,0,2,1,1,1,1,1,1
176,2,2,1,1,1,1,1,1
177,1,2,1,1,1,1,0,1
178,0,1,1,1,1,1,1,1
179,2,1,1,0,1,0,0,1
180,1,2,1,0,1,0,0,1
181,1,1,1,1,1,1,1,1
182,2,2,0,0,1,1,1,1
183,1,2,1,1,0,1,1,1
184,0,1,1,1,1,1,1,0
185,1,2,1,1,1,1,1,0
186,1,2,1,1,1,1,1,1
187,1,1,1,1,0,1,1,1
188,0,2,1,1,1,1,0,0
189,2,1,1,0,1,0,0,1
190,0,1,1,0,1,1,1,1
191,1,1,1,1,1,1,1,1
192,0,1,1,1,1,1,1,1
193,2,2,1,1,1,1,1,1
194,0,1,1,1,1,1,1,1
195,2,2,1,1,1,1,1,0
196,1,2,1,1,1,1,1,1
197,2,2,1,1,0,1,1,1
198,1,1,0,0,1,0,1,0
199,2,2,1,1,1,1,1,1
200,2,2,1,1,1,1,1,1
201,2,2,1,1,1,1,1,1
202,0,1,1,1,1,1,1,0
203,1,2,1,1,1,0,0,0
204,2,2,1,1,1,1,1,1
205,1,2,1,1,0,1,1,1
206,1,2,0,0,1,0,0,0
207,0,1,1,1,1,1,1,0
208,1,1,1,1,1,1,1,1
209,1,2,1,1,1,1,1,1
210,1,2,1,1,1,1,1,0
211,2,2,1,1,1,1,1,1
212,1,2,0,0,0,0,1,1
213,2,2,1,1,1,1,1,1
214,0,1,1,1,1,1,1,0
215,1,2,1,1,0,1,1,1
216,1,1,0,0,1,0,0,1
217,1,2,1,1,1,1,1,1
218,2,2,1,1,1,1,1,1
219,0,2,0,0,1,0,0,0
220,0,2,1,0,1,0,0,1
221,1,2,1,1,1,1,1,1
222,0,1,1,1,1,1,1,1
223,0,2,1,1,1,1,1,1
