,business_id,city,is_open,latitude,longitude,postal_code,state
0,6iYb2HFDywm3zjuRg0shjw,Boulder,1,40.0175444,-105.2833481,80302,CO
1,tCbdrRPZA0oiIYSmHG3J0w,Portland,1,45.5889058992,-122.5933307507,97218,OR
5,D4JtQNTI4X3KcbzacDJsMw,Vancouver,1,49.2513423,-123.101333,V5V,BC
12,HPA_qyMEddpAEtFof02ixg,Peabody,1,42.541155,-70.973438,01960,MA
13,ufCxltuh56FF4-ZFZ6cVhg,Orlando,1,28.5132647,-81.3747072,32806,FL
16,GfWJ19Js7wX9rwaHQ7KbGw,Orlando,1,28.3504984,-81.542819,32830,FL
22,ynTjh_FdhbG5hY69HsEoaA,Orlando,0,28.3819454,-81.510327,32836,FL
26,hcRxdDg7DYryCxCoI8ySQA,Boston,1,42.338544,-71.106842,02215,MA
29,jGennaZUr2MsJyRhijNBfA,Boston,1,42.3634422,-71.0257812,02128,MA
33,QciD6FbNklaJvUbLExD4Nw,Burnaby,1,49.2544359,-123.0200503,V5G 1G4,BC
35,iPD8BBvea6YldQZPHzVrSQ,Boston,0,42.3426726,-71.0842392,02115,MA
36,jx91IMdGOmLOo8h_F9z39g,Portland,1,45.5264727,-122.535323,97230,OR
41,NRPemqVb4qpWFF0Avq_6OQ,Austin,1,30.2345329,-97.8772622,78735,TX
42,TRToVIbaVtu1KOE8DR9gCw,Clermont,1,28.538452,-81.737625,34711,FL
47,Xi2GGNzOiUS8r6WCFvu-fw,Surrey,1,49.173723,-122.889641,V3V 4B9,BC
50,5PsApTz-WqhF_-8mfqGtGw,Portland,1,45.5184501881,-122.6757229865,97204,OR
52,Of6xu3pY3eHe2yhiyz2dvg,Boulder,1,40.0336776766,-105.2591028437,80301,CO
53,djolOChjDtxniurUFP_SXA,Sanford,1,28.8006862,-81.3317118,32771,FL
54,Z2JC3Yrz82kyS86zEVJG5A,Burlington,0,42.5069354,-71.1958538,01803,MA
61,bRsDZ44CD3uhGnRY3NeQhQ,Austin,1,30.4418754072,-97.7465811589,78729,TX
62,z8-_6l5EhX5NuPfWzJYQMA,Atlanta,1,33.846335,-84.3635778,30326,GA
63,qbZJh9lR0gh4Wca96NQv9g,Orlando,1,28.551335,-81.483167,32818,FL
65,z-0oY7VxQMQw3JHvdPejrA,Austin,0,30.230016,-97.7326393,78741,TX
67,buTr0hMiyDbjQvFJgm-Eew,Somerville,1,42.3954064535,-71.0794906915,02145,MA
74,Mf9io8WkMyGautXuSSfGTg,Vancouver,1,45.6988889,-122.703543,98685,WA
75,3ME_CSB1bo4F0QMhQRUeOA,Swampscott,1,42.4680809796,-70.9167520723,01907,MA
86,Q2vefh0tGhtCGQDK1FI7cw,Atlanta,1,33.8428749,-84.3785385,30305,GA
88,EGZ0fhB9k0ZlI5sHda4vFw,Orlando,0,28.4632778,-81.4511805,32819,FL
92,jI0NfabCGtRZWH5S0jl6Pw,Deltona,1,28.882545,-81.279028,32725,FL
93,HMXiuCxHDXqMH1hBpaHd9g,Portland,0,45.5162412,-122.5975269,97215,OR
94,ZA3u0Nu5V6TqkcYh8U0zdg,Portland,0,45.523073600000004,-122.6962064,97210,OR
97,gmLYiyg_hW_DVQWEPgfRQA,Buda,0,30.081542,-97.844353,78610,TX
104,aTAe3uMYBEwU0FbTMFEI5g,Portland,1,45.5299395,-122.6829322,97209,OR
106,52f_ztOVodIoV43Qt-R4rA,Portland,0,45.5131986231,-122.6763805441,97230,OR
112,NoPXKdIwRzflOW-5exFAqA,Coquitlam,0,49.2375466909,-122.8726284322,V3K 3T3,BC
113,XDv29FffNd2dWnDOtZP-wg,Cambridge,1,42.3872124,-71.1185319,02140,MA
119,3_RuVmLNa-1GNHOMvl_bsg,Apopka,1,28.673554,-81.47132,32703,FL
122,7f4z43MHAV-l-LsRYsasAg,Titusville,0,28.5928805908,-80.8037285507,32780,FL
126,BGLqNLxH8p3dEoiLVLRq1A,Portland,0,45.516382,-122.618593,97215,OR
131,jfDfHzAq6iKkRnzzZ4n1nQ,Vancouver,0,49.2863603653,-123.1402613545,V6G 2M9,BC
132,5eq56X-e9YbAKmHgUOyXSg,Columbus,1,40.0653778,-83.0714151,43220,OH
134,_p53vrNvW47kNZvRzTQL8A,Somerville,0,42.4007464,-71.1178033,02144,MA
135,9C2lhZ4qRH5H2zMjmto1ng,Roslindale,0,42.2878446,-71.107567,02131,MA
136,xJvsYeY9u5RLLZpXJqJEgw,Winter Park,0,28.6021283,-81.3639521,32789,FL
139,qZH9fTs1a7dOXrM7dZjKwQ,Coquitlam,0,49.2619451,-122.8904787,V3J 3X4,BC
141,L-Stk9lkVfPSFQlrFukCwA,Newton,1,42.3307744,-71.1916386,02459,MA
142,m--WeFBAQaz5rHmJ-aRlkQ,Altamonte Springs,0,28.660996,-81.401399,32714,FL
143,OfA_4cHgvlknHMcn0qNs2w,Vancouver,1,49.2195321279,-123.0408930571,V5S,BC
147,bP6goJODwRnM3AVy45Kn9w,Atlanta,1,33.772758,-84.380375,30308,GA
149,vecuat0jOia-CJveW3ngDw,Columbus,1,39.9462675588,-82.9910435896,43206,OH
155,yCeENvVAGQQ0PeeWU0Pl2g,Atlanta,1,33.640879018,-84.4255140424,30320,GA
158,_8Hejg5Q-_izIhLvq2ocnw,Boulder,1,40.0706936,-105.2003756,80301,CO
